nombre_ruta_semantica,cluster_fisico_id,hotspot_id,latitude,longitude,total_camiones,avg_permanencia_min,avg_conduccion_horas,avg_conduccion_post_horas,opportunity_score,top_3_origenes,top_3_destinos
Murcia - Covera - Murcia - Songonera la Seca,88,hs_128,37.82709941158428,-1.136564050046288,1,158.3,0.1,0.3,0.165,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,89,hs_0,37.87222609178602,-1.0917998074781925,1,50.8,0.2,0.3,0.064,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,89,hs_10,37.619682559042715,-0.9576721890043246,1,35.9,0.5,0.6,0.069,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,89,hs_123,37.836208126839345,-1.1018347656187437,1,59.6,0.2,0.3,0.073,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,89,hs_92,37.6721343,-1.0389903,1,74.5,0.4,0.5,0.101,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,90,hs_1,37.97918166649245,-1.1542512174932587,2,89.0,0.4,0.1,0.139,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,91,hs_1,37.97918166649245,-1.1542512174932587,1,124.8,0.3,0.1,0.145,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,92,hs_12,37.9302253645607,-0.7311551436360287,2,55.8,0.4,0.8,0.106,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,93,hs_1,37.97918166649245,-1.1542512174932587,2,57.3,0.2,0.1,0.094,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,94,hs_1,37.97918166649245,-1.1542512174932587,3,59.4,0.3,0.0,0.126,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,94,hs_102,37.75452933228008,-1.0436462856836357,1,299.1,0.3,0.4,0.319,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,94,hs_5,37.89289870210942,-1.1406663674192485,1,15.5,0.2,0.3,0.029,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,95,hs_0,37.87222609178602,-1.0917998074781925,1,252.3,0.3,0.3,0.272,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
